,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,11,Sales,D,D,2018 Quarter 1,Brewster/span>,2401,2
1,21,Sales,D,D,2018 Quarter 1,Brewster/span>,2401,2
2,22,Sales,D,D,2018 Quarter 1,Brewster/span>,2401,2
3,23,Sales,"$1,061,550",58,2018 Quarter 1,Brewster/span>,2401,2
4,31,Sales,"$31,097",4,2018 Quarter 1,Brewster/span>,2401,2
5,32,Sales,"$244,928",23,2018 Quarter 1,Brewster/span>,2401,2
6,33,Sales,"$55,794",22,2018 Quarter 1,Brewster/span>,2401,2
7,42,Sales,"$1,291,617",221,2018 Quarter 1,Brewster/span>,2401,2
8,44,Sales,"$5,055,701",204,2018 Quarter 1,Brewster/span>,2401,2
9,45,Sales,"$518,285",251,2018 Quarter 1,Brewster/span>,2401,2
10,48,Sales,D,D,2018 Quarter 1,Brewster/span>,2401,2
11,49,Sales,$441,3,2018 Quarter 1,Brewster/span>,2401,2
12,51,Sales,"$471,320",79,2018 Quarter 1,Brewster/span>,2401,2
13,52,Sales,"$144,671",19,2018 Quarter 1,Brewster/span>,2401,2
14,53,Sales,"$558,396",29,2018 Quarter 1,Brewster/span>,2401,2
15,54,Sales,"$167,494",55,2018 Quarter 1,Brewster/span>,2401,2
16,56,Sales,"$138,093",42,2018 Quarter 1,Brewster/span>,2401,2
17,61,Sales,"$81,230",11,2018 Quarter 1,Brewster/span>,2401,2
18,62,Sales,D,D,2018 Quarter 1,Brewster/span>,2401,2
19,71,Sales,"$13,233",3,2018 Quarter 1,Brewster/span>,2401,2
20,72,Sales,"$734,670",9,2018 Quarter 1,Brewster/span>,2401,2
21,81,Sales,"$442,232",35,2018 Quarter 1,Brewster/span>,2401,2
22,11,Sales,"$19,108",3,2017 Quarter 4,Brewster/span>,2401,2
23,21,Sales,D,D,2017 Quarter 4,Brewster/span>,2401,2
24,22,Sales,D,D,2017 Quarter 4,Brewster/span>,2401,2
25,23,Sales,"$1,270,717",68,2017 Quarter 4,Brewster/span>,2401,2
26,31,Sales,"$44,090",13,2017 Quarter 4,Brewster/span>,2401,2
27,32,Sales,"$297,910",20,2017 Quarter 4,Brewster/span>,2401,2
