,NAICS,Tax Type,Total Taxable,Units,Year,location_name,location_id,naicstyp
0,11,Sales,"$22,274",13,2009 Quarter 1,Snohomish PTBA/span>,3131,2
1,21,Sales,"$210,091",9,2009 Quarter 1,Snohomish PTBA/span>,3131,2
2,22,Sales,"$136,274",8,2009 Quarter 1,Snohomish PTBA/span>,3131,2
3,23,Sales,"$64,072,630","1,039",2009 Quarter 1,Snohomish PTBA/span>,3131,2
4,31,Sales,"$163,000",60,2009 Quarter 1,Snohomish PTBA/span>,3131,2
5,32,Sales,"$1,628,281",95,2009 Quarter 1,Snohomish PTBA/span>,3131,2
6,33,Sales,"$1,265,623",118,2009 Quarter 1,Snohomish PTBA/span>,3131,2
7,42,Sales,"$11,497,687",499,2009 Quarter 1,Snohomish PTBA/span>,3131,2
8,44,Sales,"$77,703,876",603,2009 Quarter 1,Snohomish PTBA/span>,3131,2
9,45,Sales,"$51,221,202",544,2009 Quarter 1,Snohomish PTBA/span>,3131,2
10,48,Sales,"$1,459,247",30,2009 Quarter 1,Snohomish PTBA/span>,3131,2
11,49,Sales,"$42,796",4,2009 Quarter 1,Snohomish PTBA/span>,3131,2
12,51,Sales,"$20,476,743",150,2009 Quarter 1,Snohomish PTBA/span>,3131,2
13,52,Sales,"$844,567",32,2009 Quarter 1,Snohomish PTBA/span>,3131,2
14,53,Sales,"$3,545,920",131,2009 Quarter 1,Snohomish PTBA/span>,3131,2
15,54,Sales,"$1,913,668",166,2009 Quarter 1,Snohomish PTBA/span>,3131,2
16,55,Sales,D,D,2009 Quarter 1,Snohomish PTBA/span>,3131,2
17,56,Sales,"$6,183,718",275,2009 Quarter 1,Snohomish PTBA/span>,3131,2
18,61,Sales,"$116,374",26,2009 Quarter 1,Snohomish PTBA/span>,3131,2
19,62,Sales,"$85,668",26,2009 Quarter 1,Snohomish PTBA/span>,3131,2
20,71,Sales,"$2,717,380",34,2009 Quarter 1,Snohomish PTBA/span>,3131,2
21,72,Sales,"$22,939,185",172,2009 Quarter 1,Snohomish PTBA/span>,3131,2
22,81,Sales,"$6,975,545",252,2009 Quarter 1,Snohomish PTBA/span>,3131,2
23,92,Sales,"$39,287",6,2009 Quarter 1,Snohomish PTBA/span>,3131,2
