year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/06,Adams,13879927,2365411,496007,373663,22272242,327729,1912150,47563,7983923,0,934402.6667,0,7188955,1740542,0,3000806,29531361,284186,3001195,34365313
1/1/06,Asotin,21556377,2241632,28072,2386826,30724700,25238,1182819,982858,6339523,0,824356.6667,0,4503599,1065058,9578,4334765,44821436,449689.5,0,13589409
1/1/06,Benton,216345468,38558544,1239417,19438080,401514357,1527491,19039313,6090733,93710724,527429,12126598,87358,27758804,36071192,123926,41981979,582866598.5,873018.5,2785243,163139377
1/1/06,Chelan,150744275,18177647,2190767,14907106,283262329,1382325,17208810,4242697,41357806,243355,9359703,727287,34355428,19742146,559306,34147239,311086528,1799199,1303711,105023659
1/1/06,Clallam,93727118,13249025,4398029,7224613,239339166,1895320,4734129,3225839,34993783,0,8536963,1337247,34142476,9680283,71192,16070657,242028419.5,1483441.5,416692,49437357
1/1/06,Clark,435273239,98127529,14935617,38581971,1145695235,8278972,53971115,13456496,209897623,0,39880626,2044727,75210306,52019966,1821140,109764009,1038049001,7423167.5,8747255,311515950
1/1/06,Columbia,2400432,243648,286719,1460968,5702557,4579,241054,84845,1741850,,164340.6667,0,2099955,565236,0,618118,4431931.5,171514,0,4381370
1/1/06,Cowlitz,115429236,15105966,2441515,9424760,213582307,2882674,6074886,2912409,53081758,0,9514119.667,2111596,38080456,16795575,805884,28868577,349924139,2699032.5,1158737,94571293
1/1/06,Douglas,25693380,4280397,593167,5179224,61594078,867820,1429462,493152,12288516,0,1800310.333,0,6705076,1682125,0,6842732,109295594,521864,539097,49381658
1/1/06,Ferry,4986389,386596,110929,125100,9825109,1617,105003,62256,2456805,,198980.6667,0,1345029,325821,0,846437,5800533,0,0,2751496
1/1/06,Franklin,52366884,10154473,3624718,4832901,181990854,691802,6406686,1858818,31490523,0,11762664.33,1824218,23961366,6561525,247814,45491585,191488889.5,2260395.5,1274999,131805278
1/1/06,Garfield,624866,155864,0,0,2715953,1462,162743,0,915202,,15062.66667,0,646935,122481,0,460826,3126831.5,0,0,3456579
1/1/06,Grant,81449608,12583127,4002508,7689214,303087963,1344578,8995128,2429797,36460457,0,5869915.667,11934975,33347445,8232591,2316206,22808352,214726973,1393811.5,11048049,106688333
1/1/06,Grays Harbor,99653728,10469682,2557204,8090465,164752361,462536,4831539,820404,36155392,303498,5128190.333,588268,23014273,7165076,0,12854665,200361067.5,2446187.5,67621,45150573
1/1/06,Island,65389714,22139620,1378197,11494178,238111835,1365826,7397582,1039646,37402371,0,7190124.333,1099321,20049147,11563688,132032,13402004,172436067.5,785729,2302911,27107433
1/1/06,Jefferson,48176212,6389878,1355048,5017589,108160878,544216,2504136,1492778,17113910,0,5618793.667,931738,12706406,4494915,46392,4508304,59811821,745056,19449,20355634
1/1/06,King,4480918925,1004291751,36084821,439555647,8255833826,56706440,378115277,134507727,1971597179,10940850,331986377,20312968,635022300.5,1183145579,27456882,1340349010,8825657745,109274408,19989251,3932038395
1/1/06,Kitsap,272224020,56897026,2127945,27364928,713222972,2207690,26496209,7364216,151807250,384792,15967225.33,3004615,100855626,41025706,4828722,67107933,909467445,3468230,84443,117977931
1/1/06,Kittitas,70165056,7381020,2994343,9995611,240405237,9710846,5444380,1987923,21376786,0,6491896.333,135724,8722244.5,7539128,70128,17065042,117313200.5,749288,1149353,35577270
1/1/06,Klickitat,10584594,2508083,2184340,1446194,56660541,385731,2413930,145544,8150173,0,2070385.333,925679,5287504,1497126,44093,2860047,19256548,736436.5,479589,20673790
1/1/06,Lewis,85047380,9523367,3116616,11766840,237040182,1352879,3369947,2211479,39193507,446979,8924600.333,4954379,34312783,15426314,50297,25480455,252199878,2786141,770473,115989405
