date,sales,units
2005-01-01,99535865241,766521
2006-01-01,108580880563,805454
2007-01-01,116155088246,854648
2008-01-01,111123072962,1074977
2009-01-01,98578102142,1161903
2010-01-01,98824687128,1191943
2011-01-01,101879826782,1244363
2012-01-01,106989847035,1285923
2013-01-01,114902419984,1336679
2014-01-01,122459690082,1396815
2015-01-01,132865156246,1489572
2016-01-01,143298827492,1616033
